Id,Section,Name,Price,Total Sold,Total Reviews,Shop Location,Revenue,Review Rate,Price Segment,Location Type
4746501502,Acne Care,🍀พร้อมส่ง ส่งฟรี🍀 TRUVITAR Gotu Kola Plus Zinc 30 แคปซูล ผลิตภัณฑ์เสริมอาหารสารสกัดจากใบบัวบกชนิดแคปซูล จัดการปัญหาสิวแบบตรงจุด !! (1แถม1),319.0,6,5,Saraburi,1914.0,0.7142857142857143,Mid-Range,Rural
4416845688,Acne Care,❗️ของแท้ ส่งฟรี❗️มานามิ คอลลาเจน & มาเอมิ กลูต้า By Puiinun Gluta Collagen Manami Maemi,1000.0,0,1,Bangkok,0.0,1.0,Premium,Bangkok
2702559839,Acne Care,Zinc​ [ซิงค์​] 60cap,269.0,0,0,Rayong,0.0,0.0,Mid-Range,Rural
3021883449,Acne Care,DHC ZINC 60 วัน ดีเอชซี ซิงค์ สังกะสี,149.0,1129,257,Bangkok,168221.0,0.22743362831858407,Budget,Bangkok
141456838,Acne Care,Amsel Zinc Vitamin Premix (แอมเซล ซิงค์ พลัส วิตามินพรีมิกซ์) 30 Capsules,112.0,3318,510,Chonburi,371616.0,0.15366074118710454,Budget,Rural
4698919013,Acne Care,Akane Lyco Brink อากาเนะ ไลโค บริ้ง เสกผิวใส หน้าบริ้ง ( 1 ห่อ 30 ซอง ),390.0,15,4,Bangkok,5850.0,0.25,Mid-Range,Bangkok
641118150,Acne Care,Vistra Gotu Kola Extract Plus Zinc วิสทร้า  สารสกัดใบบัวบก [30 เม็ด],192.0,739,118,Pathum Thani,141888.0,0.15945945945945947,Budget,Rural
2595923484,Acne Care,[ส่งฟรี! พร้อมส่ง] แอลแซด ซิงค์ LZ Zinc อาหารเสริมสำหรับผิว 60 แคปซูล  (ซื้อ 1 แถม 1) รับสินค้า 1-2 วัน,273.42,338,100,Saraburi,92415.96,0.2949852507374631,Mid-Range,Rural
4712079584,Acne Care,Vistra Set ลดสิวผิวมัน ป้องกันการเกิดสิวอักเสบ (vistra Gotu kola 30เม็ด) (vistra zinc 45เม็ด) #โทนเนอร์  #สิว  #ป้องกันสิว  #ลดสิว  #ลดรอยดำ  #รักษาสิว,778.17,0,0,Pathum Thani,0.0,0.0,Premium,Rural
4646762352,Acne Care,[ Yong-Won วิตตามินซอฟเจลเกาหลี ยองวอน ] โปรสุดพิเศษ 1 แถม 1 ส่งฟรี! ของแท้ 100% จบปัญหาสิวรอยดำ ช่วยให้มีสุขภาพผิวที่ดีขึ้น เร่งขาวผิวเนียนใส,290.0,13,5,Ratchaburi,3770.0,0.35714285714285715,Mid-Range,Rural
339450955,Acne Care,อาหารเสริม สำหรับผู้ชายและผู้หญิง กิฟฟารีน Giffarine #ซิ้งค์ #คอลลาเจน #Collagen #สิว #หน้ามัน #ผมร่วง #ผมหลุดร่วง #มีบุตรยาก #อ่อนเพลีย,520.0,10,1,Bangkok,5200.0,0.09090909090909091,Premium,Bangkok
230237081,Acne Care,Vistra Gotu Kola Extract Plus Zinc (30 แคปซูล) วิสทร้า โกตู พลัส ซิงค์,177.0,1235,84,Phatthalung,218595.0,0.06796116504854369,Budget,Rural
4738104411,Acne Care,วิตามินผิวขาว สิว ฝ้า กระ อาหารเสริมเพื่อผิวขาว สารสกัดจากเมล็ดองุ่น grape seed วิตามินซี วิตามินอี อาหารเสริมเพื่อผิวสวย กลูต้า คอลลาเจน องุ่น 30 เม,380.0,0,1,Bangkok,0.0,1.0,Mid-Range,Bangkok
1998678219,Acne Care,Vistra KIWI Extract  วิสทร้า สารสกัดกีวี ผลิตภัณฑ์เสริมอาหารเพื่อจัดการปัญหาสิวครบสูตร 30 เม็ด [Exp.06/23],319.0,5,4,Lamphun,1595.0,0.6666666666666666,Mid-Range,Rural
4183159002,Acne Care,[ส่งฟรี! พร้อมส่ง] แอลแซด ซิงค์ LZ Zinc ลดสิว รอยสิว ฟื้นฟูผิว เสริมภูมิคุ้มกัน  (ซื้อ 1 แถม 1) รับสินค้า 1-2 วัน,279.0,49,10,Saraburi,13671.0,0.2,Mid-Range,Rural
2595908405,Acne Care,[พร้อมส่ง! ส่งไว] แอลแซด ซิงค์ LZ Zinc ลดสิว รอยสิว ฟื้นฟูผิว เสริมภูมิคุ้มกัน (60 แคปซูล) รับสินค้า 1-2 วัน,116.0,1099,219,Saraburi,127484.0,0.1990909090909091,Budget,Rural
2535580864,Acne Care,Nakiz lively nose  ครีมลอกสิวเสี้ยน นาคิส,158.0,4744,703,Samut Prakan,749552.0,0.14815595363540568,Budget,Rural
4736167383,Acne Care,อาหารเสริมเพื่อผิวขาว สารสกัดจากเมล็ดองุ่น วิตามินซี วิตามินอี จุดดำสิว จุดแดงสิว กรตุ้นกลูต้า คอลลาเจน Grape Seed 580บาท,560.0,7,2,Bangkok,3920.0,0.25,Premium,Bangkok
346780443,Acne Care,Vistra Gotu Kola Extract Plus Zinc วิสทร้า โกตู โคลา พลัส ซิงค์ [30 เม็ด],192.0,4408,771,Pathum Thani,846336.0,0.17486958493989566,Budget,Rural
4626639135,Acne Care,DHC X BESTURAL คอลลาเจนกัมมี่ คอลลาเจนเยลลี่ collagen กินง่าย ผิวสวย,238.0,0,1,Bangkok,0.0,1.0,Mid-Range,Bangkok
1732758023,Acne Care,คอลลาเจนกระดูก คอลลาเจน CollaJoy by Dr.awie 1 กระปุกมี 30 เม็ด [ของแท้ ส่งฟรี Kerry] Collagen คอลลาเจนไขข้อ คอลาเจนข้อเข่า คอลลาเจนข้อต่อ คอลลาเจนปวดข้อ,750.0,48,25,Chiang Mai,36000.0,0.5102040816326531,Premium,Rural
1024080872,Acne Care,🔥ส่งฟรี สั่งเลย🚚 VITAMORES ผลิตภัณฑ์เสริมอาหาร สารสกัดจากเปลือกมังคุด ชนิดแคปซูล ดูแลผิวสวย หน้าใส ไร้จุดด่างดำที่เกิดจากสิว (1แถม1),279.0,0,0,Saraburi,0.0,0.0,Mid-Range,Rural
2846997790,Acne Care,ซื้อ 2 ขวด ถูกกว่า Amsel Zinc plus Vitamin Premix แอมเซล ซิงค์ พลัส วิตามินพรีมิกซ์ บำรุง ผม เล็บ,210.0,8,1,Phatthalung,1680.0,0.1111111111111111,Mid-Range,Rural
1900512242,Acne Care,Colla ac คอลลาเจนลดสิว by dr awie [ส่งฟรี Kerry ] คอลลาเจนสิวฝ้า คอลาเจนแก้สิว 1 กระปุก มี 30 แคปซูล คอลลาเจนญี่ปุ่นคอลลาเจนลดสิวโดยหมอ,590.0,189,37,Chiang Mai,111510.0,0.19473684210526315,Premium,Rural
4359404537,Acne Care,Dhc Vitamin c 20 วัน exp 2024,79.0,26,1,Nonthaburi,2054.0,0.037037037037037035,Budget,Rural
4743165277,Acne Care,อาหารเสริมเพื่อผิวขาว สารสกัดจากเมล็ดองุ่น วิตามินซี วิตามินอี จุดดำสิว จุดแดงสิว กรตุ้นกลูต้า คอลลาเจน Grape Seed,580.0,0,1,Samut Prakan,0.0,1.0,Premium,Rural
4506588403,Acne Care,Chame ชาเม่ คริสตอล คอลลาเจน ผลิตภัณฑ์เสริมอาหาร (2 กล่อง แถม 20 ซอง) #125414,1490.0,0,0,Bangkok,0.0,0.0,Luxury,Bangkok
4660848630,Acne Care,[ ×12 กล่อง ] วิตามิน อาหารเสริมผิวขาว  เพรสแอนด์เชค กลิ่นฟรุ๊ตพั้นช์คอลลาเจน 2000 มก. 3.5g,250.0,0,0,Bangkok,0.0,0.0,Mid-Range,Bangkok
4780566813,Acne Care,EXP.2025🇯🇵DHC Daisu Isofura Bon (20/30Days) สารสกัดจากถั่วเหลือง ปรับสมดุลฮอร์โมนในร่างกาย ป้องกันสิว ลดรอยแดงสิว,258.0,0,0,Bangkok,0.0,0.0,Mid-Range,Bangkok
4256468704,Acne Care,Colla Ac By Dr Awie วิตามินสิว,1500.0,6,1,Nonthaburi,9000.0,0.14285714285714285,Luxury,Rural
1057938081,Acne Care,70% OFF ราคา Sale!!! โปรดอ่าน EXP: 12/2023 คีเลต ซิงค์ Chelated Zinc (Gluconate) 50 mg 250 Tablets (PipingRock®) สังกะสี Piping Rock,998.0,12,0,Chiang Mai,11976.0,0.0,Premium,Rural
4358925806,Beauty Supplements Value Sets,YUUKI X3​ Collagen Snowy 15000​ mg. (พร้อมส่ง),200.0,11,1,Samut Prakan,2200.0,0.08333333333333333,Budget,Rural
4683387096,Beauty Supplements Value Sets,Wisdoma Lyco Tomato มะเขือเทศ100% ไลโคปีนLycopene  (30แค็ปซูล),255.0,9,0,Udon Thani,2295.0,0.0,Mid-Range,Rural
4689758066,Beauty Supplements Value Sets,DHC Vitamin C (60 วัน / 120 เม็ด) วิตามินซี **ล๊อตใหม่ล่าสุด**,119.0,1430,294,Pathum Thani,170170.0,0.20545073375262055,Budget,Rural
2913049923,Beauty Supplements Value Sets,[พร้อมส่งมีบัตรตัวแทน] คอลลาเจน โจจู  JOJU Collagen 1กระปุกของแท้,290.0,818,110,Bangkok,237220.0,0.1343101343101343,Mid-Range,Bangkok
2827543386,Beauty Supplements Value Sets,[ล็อตใหม่พร้อมส่งมีบัตรตัวแทน]คอลลาเจนโจจู  JOJU Collagen ของแท้100% (1กะปุก30เม็ด),290.0,1863,295,Bangkok,540270.0,0.1582618025751073,Mid-Range,Bangkok
4092860792,Beauty Supplements Value Sets,NBL DHA Omega-3 ดีเอชเอจากน้ำมันปลาแซลม่อน (30 แคปซูล),162.0,5921,717,Bangkok,959202.0,0.12107396149949341,Budget,Bangkok
4501601394,Beauty Supplements Value Sets,ZEAvita collagen 70x  1 กล่อง จำนวน 8 ซอง (ขายส่ง),199.0,0,0,Lamphun,0.0,0.0,Budget,Rural
4140545585,Beauty Supplements Value Sets,LARRITA วิตามินบูสผิว (ปรางทิพย์ เดอะว๊อยซ์) โกโก้คอลลาเจน วิตามินซี วิตซี  (1กระปุก ขนาด150 กรัม),130.0,549,46,Bangkok,71370.0,0.08363636363636363,Budget,Bangkok
4081445922,Beauty Supplements Value Sets,วิตามินซี ชนิดชงละลายน้ำ สูตรเข้มข้น (Fulfill Great to C),150.0,1454,235,Phichit,218100.0,0.16151202749140894,Budget,Rural
4620147748,Beauty Supplements Value Sets,ของแท้ ส่งฟรี!! 1 แถม 1 BTO กลูต้า ของแท้ บีทีโอ Gluta คอลลาเจน ผิวขาวใส ดูอ่อนวัย,290.0,303,48,Si Sa Ket,87870.0,0.15789473684210525,Mid-Range,Rural
4369126110,Beauty Supplements Value Sets,"แพ็คเกจใหม่!! คอลลาเจน 200,000mg. Veggie Collagen Powder คอลลาเจนผัก #ผิวขาวใส คุมหิว ผอม",155.0,1465,264,Bangkok,227075.0,0.1800818553888131,Budget,Bangkok
4670578150,Beauty Supplements Value Sets,พร้อมส่ง‼️Collagen sure herb คอลลาเจนชัวเฮิร์บ พลัส ผลิตภัณฑ์เสริมอาหาร  ตรา ชัวร์เฮิร์บ 1ห่อ20ซอง,169.0,67,28,Bangkok,11323.0,0.4117647058823529,Budget,Bangkok
